Number of Correct Guesses,Repeat Number,Time Up To Now
509143,924,"1 day, 4:42:42.896102"
509399,925,"1 day, 4:44:50.116555"
510026,926,"1 day, 4:46:57.382738"
509949,927,"1 day, 4:49:06.499223"
509608,928,"1 day, 4:51:15.585259"
510436,929,"1 day, 4:53:24.235756"
509847,930,"1 day, 4:55:33.379464"
510596,931,"1 day, 4:57:42.285386"
509593,932,"1 day, 4:59:50.008711"
509735,933,"1 day, 5:01:57.810038"
510216,934,"1 day, 5:04:06.389705"
508811,935,"1 day, 5:06:14.363103"
510541,936,"1 day, 5:08:22.442794"
510482,937,"1 day, 5:10:29.831877"
509030,938,"1 day, 5:12:37.344909"
509150,939,"1 day, 5:14:44.837748"
509970,940,"1 day, 5:16:53.706985"
509495,941,"1 day, 5:19:01.625096"
509549,942,"1 day, 5:21:11.084700"
508965,943,"1 day, 5:23:18.546063"
509686,944,"1 day, 5:25:25.867444"
508758,945,"1 day, 5:27:33.777827"
509597,946,"1 day, 5:29:42.599340"
510383,947,"1 day, 5:31:50.428180"
508782,948,"1 day, 5:33:57.883410"
510055,949,"1 day, 5:36:07.703012"
509064,950,"1 day, 5:38:15.418746"
509455,951,"1 day, 5:40:22.613400"
510374,952,"1 day, 5:42:31.743665"
509893,953,"1 day, 5:44:39.327150"
509862,954,"1 day, 5:46:46.418833"
509702,955,"1 day, 5:48:54.104986"
509358,956,"1 day, 5:51:02.161670"
509569,957,"1 day, 5:53:11.530403"
509788,958,"1 day, 5:55:20.521971"
510209,959,"1 day, 5:57:28.673019"
509207,960,"1 day, 5:59:36.144128"
509460,961,"1 day, 6:01:43.808901"
509562,962,"1 day, 6:03:51.466356"
510018,963,"1 day, 6:06:00.760780"
509823,964,"1 day, 6:08:08.925802"
509917,965,"1 day, 6:10:16.269958"
509735,966,"1 day, 6:12:25.450959"
510426,967,"1 day, 6:14:32.178830"
510141,968,"1 day, 6:16:40.056364"
510100,969,"1 day, 6:18:47.109603"
510060,970,"1 day, 6:20:54.734625"
509925,971,"1 day, 6:23:01.642936"
509321,972,"1 day, 6:25:09.403738"
509838,973,"1 day, 6:27:16.934275"
509089,974,"1 day, 6:29:24.066082"
509635,975,"1 day, 6:31:31.131101"
509080,976,"1 day, 6:33:39.160858"
509669,977,"1 day, 6:35:48.267893"
510224,978,"1 day, 6:37:55.857963"
509016,979,"1 day, 6:40:03.069478"
510073,980,"1 day, 6:42:10.456316"
510466,981,"1 day, 6:44:17.831593"
509557,982,"1 day, 6:46:24.841136"
509700,983,"1 day, 6:48:32.353619"
510645,984,"1 day, 6:50:39.866291"
509812,985,"1 day, 6:52:48.893845"
509853,986,"1 day, 6:54:57.137198"
509227,987,"1 day, 6:57:06.690630"
509110,988,"1 day, 6:59:14.624333"
510475,989,"1 day, 7:01:21.853346"
510128,990,"1 day, 7:03:29.403198"
509500,991,"1 day, 7:05:38.915091"
509537,992,"1 day, 7:07:47.065240"
509704,993,"1 day, 7:09:55.104524"
510676,994,"1 day, 7:12:02.930398"
509855,995,"1 day, 7:14:10.077831"
509537,996,"1 day, 7:16:11.999943"
509650,997,"1 day, 7:17:34.139357"
509555,998,"1 day, 7:18:56.001894"
509478,999,"1 day, 7:20:16.892442"
509732,1000,"1 day, 7:21:37.739651"
